user_id,age,gender,occupation
1,51,Female,Student
2,67,Female,Student
3,49,Female,Professional
4,37,Female,Student
5,59,Female,Professional
6,58,Other,Student
7,53,Male,Professional
8,44,Male,Professional
9,67,Female,Professional
10,39,Female,Student
11,52,Male,Retired
12,34,Female,Student
13,25,Other,Student
14,68,Male,Retired
15,59,Female,Student
16,19,Male,Student
17,37,Male,Self-employed
18,55,Female,Professional
19,67,Male,Professional
20,58,Male,Professional
21,59,Other,Retired
22,62,Female,Professional
23,33,Female,Professional
24,46,Female,Professional
25,34,Female,Professional
26,22,Male,Student
27,48,Female,Retired
28,42,Other,Self-employed
29,60,Male,Student
30,44,Other,Professional
31,67,Female,Student
32,66,Female,Professional
33,58,Female,Student
34,22,Male,Retired
35,52,Male,Self-employed
36,69,Male,Professional
37,38,Male,Professional
38,36,Other,Professional
39,69,Male,Retired
40,22,Female,Professional
41,58,Female,Professional
42,27,Male,Professional
43,56,Female,Student
44,61,Female,Professional
45,29,Male,Self-employed
46,59,Male,Professional
47,68,Female,Student
48,37,Female,Retired
49,18,Female,Self-employed
50,66,Female,Retired
51,32,Other,Professional
52,65,Male,Professional
53,38,Female,Student
54,50,Male,Professional
55,34,Female,Professional
56,25,Male,Student
57,44,Female,Student
58,28,Male,Professional
59,29,Male,Retired
60,23,Male,Retired
61,27,Male,Professional
62,29,Male,Retired
63,50,Female,Professional
64,45,Male,Student
65,65,Female,Student
66,43,Male,Student
67,34,Male,Professional
68,37,Female,Professional
69,20,Male,Retired
70,34,Female,Student
71,28,Female,Self-employed
72,52,Male,Student
73,30,Other,Professional
74,43,Male,Self-employed
75,35,Female,Professional
76,42,Male,Professional
77,59,Male,Professional
78,64,Male,Retired
79,40,Male,Retired
80,19,Female,Professional
81,33,Male,Retired
82,35,Male,Student
83,36,Female,Professional
84,49,Other,Retired
85,38,Female,Professional
86,68,Female,Retired
87,52,Female,Professional
88,31,Female,Self-employed
89,36,Male,Professional
90,41,Other,Professional
91,60,Other,Self-employed
92,49,Female,Student
93,30,Male,Professional
94,60,Male,Professional
95,21,Female,Student
96,51,Female,Professional
97,61,Male,Student
98,66,Other,Professional
99,61,Other,Retired
100,68,Male,Professional
101,38,Male,Professional
102,27,Female,Professional
103,37,Other,Student
104,63,Male,Student
105,22,Other,Student
106,27,Male,Self-employed
107,31,Female,Retired
108,52,Female,Retired
109,39,Male,Retired
110,20,Female,Professional
111,65,Other,Self-employed
112,40,Male,Professional
113,49,Female,Self-employed
114,39,Other,Professional
115,41,Male,Professional
116,65,Female,Professional
117,61,Female,Retired
118,58,Male,Professional
119,22,Female,Retired
120,64,Male,Professional
121,69,Male,Student
122,54,Female,Professional
123,59,Male,Student
124,19,Female,Student
125,53,Female,Student
126,37,Female,Retired
127,30,Male,Retired
128,22,Female,Retired
129,42,Female,Student
130,58,Male,Professional
131,31,Male,Retired
132,57,Female,Professional
133,57,Male,Retired
134,64,Other,Student
135,65,Male,Professional
136,21,Male,Retired
137,28,Male,Self-employed
138,65,Male,Student
139,45,Other,Professional
140,23,Female,Student
141,65,Male,Student
142,40,Male,Professional
143,29,Male,Student
144,34,Female,Professional
145,39,Female,Professional
146,56,Female,Professional
147,22,Male,Retired
148,58,Female,Student
149,30,Male,Student
150,49,Female,Retired
151,60,Male,Student
152,59,Male,Retired
153,67,Male,Student
154,18,Female,Retired
